id,user_query,bot_response,intent,specialty
256,Who should I see for weight loss advice?,It is best to consult a specialist for this condition.,doctor_referral,Cardiology
257,My baby is crying continuously,Please monitor your child's symptoms carefully and consult a pediatrician if needed.,child_care,Pediatrics
258,My eyes are red and itchy,It seems like you may need rest and hydration. Please consult a doctor if it persists.,symptom_check,Orthopedics
259,I feel stressed and cannot sleep,It seems you are facing mental stress. Practice relaxation and consult a psychiatrist if it continues.,mental_health,Psychiatry
260,I feel pain in my joints,It seems like you may need rest and hydration. Please consult a doctor if it persists.,symptom_check,Orthopedics
261,My child has stomach pain,Please monitor your child's symptoms carefully and consult a pediatrician if needed.,child_care,Pediatrics
262,I have a fever and chills,It seems like you may need rest and hydration. Please consult a doctor if it persists.,symptom_check,ENT
263,How to keep cholesterol low?,"Regular exercise, a healthy diet, and proper rest are recommended. Consult your doctor for guidance.",lifestyle_advice,Cardiology
264,How to prevent heart disease?,"Regular exercise, a healthy diet, and proper rest are recommended. Consult your doctor for guidance.",lifestyle_advice,Cardiology
265,I am having panic attacks,It seems you are facing mental stress. Practice relaxation and consult a psychiatrist if it continues.,mental_health,Psychiatry
266,What fruits are good for the heart?,A balanced diet with proper nutrition is recommended. Consult a dietitian for a detailed plan.,diet_advice,Endocrinology
267,Whom should I consult for breathing issues?,It is best to consult a specialist for this condition.,doctor_referral,Cardiology
268,What to eat for good sleep?,A balanced diet with proper nutrition is recommended. Consult a dietitian for a detailed plan.,diet_advice,Endocrinology
269,Is ibuprofen safe for stomach pain?,"Please consult a physician before taking any medication. For mild symptoms, basic OTC medicines may help.",medicine_advice,General Medicine
270,I feel pain in my joints,It seems like you may need rest and hydration. Please consult a doctor if it persists.,symptom_check,ENT
271,My head hurts often,It seems like you may need rest and hydration. Please consult a doctor if it persists.,symptom_check,Orthopedics
272,What diet helps in immunity?,A balanced diet with proper nutrition is recommended. Consult a dietitian for a detailed plan.,diet_advice,Endocrinology
273,My throat feels sore,It seems like you may need rest and hydration. Please consult a doctor if it persists.,symptom_check,Dermatology
274,My throat feels sore,It seems like you may need rest and hydration. Please consult a doctor if it persists.,symptom_check,Dermatology
275,I feel dizzy sometimes,It seems like you may need rest and hydration. Please consult a doctor if it persists.,symptom_check,General Medicine
276,I have mood swings,It seems you are facing mental stress. Practice relaxation and consult a psychiatrist if it continues.,mental_health,Psychiatry
277,I feel pain in my joints,It seems like you may need rest and hydration. Please consult a doctor if it persists.,symptom_check,General Medicine
278,What to eat for good sleep?,A balanced diet with proper nutrition is recommended. Consult a dietitian for a detailed plan.,diet_advice,Endocrinology
279,I have skin itching,It seems like you may need rest and hydration. Please consult a doctor if it persists.,symptom_check,ENT
280,Which doctor for frequent headaches?,It is best to consult a specialist for this condition.,doctor_referral,Cardiology
281,Who treats thyroid issues?,It is best to consult a specialist for this condition.,doctor_referral,Cardiology
282,My kid has ear pain,Please monitor your child's symptoms carefully and consult a pediatrician if needed.,child_care,Pediatrics
283,I feel weak and tired,It seems like you may need rest and hydration. Please consult a doctor if it persists.,symptom_check,Orthopedics
284,I have a fever and chills,It seems like you may need rest and hydration. Please consult a doctor if it persists.,symptom_check,ENT
285,I feel stressed and cannot sleep,It seems you are facing mental stress. Practice relaxation and consult a psychiatrist if it continues.,mental_health,Psychiatry
286,How to improve sleep quality?,"Regular exercise, a healthy diet, and proper rest are recommended. Consult your doctor for guidance.",lifestyle_advice,Cardiology
287,What to eat for good sleep?,A balanced diet with proper nutrition is recommended. Consult a dietitian for a detailed plan.,diet_advice,Endocrinology
288,I have a fever and chills,It seems like you may need rest and hydration. Please consult a doctor if it persists.,symptom_check,General Medicine
289,I feel pain in my joints,It seems like you may need rest and hydration. Please consult a doctor if it persists.,symptom_check,Orthopedics
290,Which doctor for frequent headaches?,It is best to consult a specialist for this condition.,doctor_referral,Cardiology
291,My baby is not eating food,Please monitor your child's symptoms carefully and consult a pediatrician if needed.,child_care,Pediatrics
292,Is ibuprofen safe for stomach pain?,"Please consult a physician before taking any medication. For mild symptoms, basic OTC medicines may help.",medicine_advice,General Medicine
293,Which doctor for frequent headaches?,It is best to consult a specialist for this condition.,doctor_referral,Cardiology
294,My eyes are red and itchy,It seems like you may need rest and hydration. Please consult a doctor if it persists.,symptom_check,General Medicine
295,Should I use ointment for rashes?,"Please consult a physician before taking any medication. For mild symptoms, basic OTC medicines may help.",medicine_advice,General Medicine
296,My throat feels sore,It seems like you may need rest and hydration. Please consult a doctor if it persists.,symptom_check,ENT
297,How to improve digestion?,"Regular exercise, a healthy diet, and proper rest are recommended. Consult your doctor for guidance.",lifestyle_advice,Cardiology
298,I have stomach cramps,It seems like you may need rest and hydration. Please consult a doctor if it persists.,symptom_check,ENT
299,I feel pain in my joints,It seems like you may need rest and hydration. Please consult a doctor if it persists.,symptom_check,ENT
300,Which doctor for skin problems?,It is best to consult a specialist for this condition.,doctor_referral,Cardiology
301,How to improve sleep quality?,"Regular exercise, a healthy diet, and proper rest are recommended. Consult your doctor for guidance.",lifestyle_advice,Cardiology
302,I have mood swings,It seems you are facing mental stress. Practice relaxation and consult a psychiatrist if it continues.,mental_health,Psychiatry
303,I have a fever and chills,It seems like you may need rest and hydration. Please consult a doctor if it persists.,symptom_check,General Medicine
304,My baby is crying continuously,Please monitor your child's symptoms carefully and consult a pediatrician if needed.,child_care,Pediatrics
305,My throat feels sore,It seems like you may need rest and hydration. Please consult a doctor if it persists.,symptom_check,Dermatology
306,Who treats allergies?,It is best to consult a specialist for this condition.,doctor_referral,Cardiology
307,My kid has ear pain,Please monitor your child's symptoms carefully and consult a pediatrician if needed.,child_care,Pediatrics
308,I am having panic attacks,It seems you are facing mental stress. Practice relaxation and consult a psychiatrist if it continues.,mental_health,Psychiatry
309,Which specialist for knee pain?,It is best to consult a specialist for this condition.,doctor_referral,Cardiology
310,My head hurts often,It seems like you may need rest and hydration. Please consult a doctor if it persists.,symptom_check,Orthopedics
311,Who should I see for back pain?,It is best to consult a specialist for this condition.,doctor_referral,Cardiology
312,I have a fever and chills,It seems like you may need rest and hydration. Please consult a doctor if it persists.,symptom_check,Dermatology
313,I feel weak and tired,It seems like you may need rest and hydration. Please consult a doctor if it persists.,symptom_check,Orthopedics
314,Who should I see for weight loss advice?,It is best to consult a specialist for this condition.,doctor_referral,Cardiology
315,I have stomach cramps,It seems like you may need rest and hydration. Please consult a doctor if it persists.,symptom_check,Orthopedics
316,My head hurts often,It seems like you may need rest and hydration. Please consult a doctor if it persists.,symptom_check,ENT
317,My head hurts often,It seems like you may need rest and hydration. Please consult a doctor if it persists.,symptom_check,ENT
318,I have skin itching,It seems like you may need rest and hydration. Please consult a doctor if it persists.,symptom_check,Orthopedics
319,My child has stomach pain,Please monitor your child's symptoms carefully and consult a pediatrician if needed.,child_care,Pediatrics
320,How to improve digestion?,"Regular exercise, a healthy diet, and proper rest are recommended. Consult your doctor for guidance.",lifestyle_advice,Cardiology
321,Is ibuprofen safe for stomach pain?,"Please consult a physician before taking any medication. For mild symptoms, basic OTC medicines may help.",medicine_advice,General Medicine
322,I have a fever and chills,It seems like you may need rest and hydration. Please consult a doctor if it persists.,symptom_check,ENT
323,My eyes are red and itchy,It seems like you may need rest and hydration. Please consult a doctor if it persists.,symptom_check,ENT
324,I have stomach cramps,It seems like you may need rest and hydration. Please consult a doctor if it persists.,symptom_check,General Medicine
325,I cannot focus on studies,It seems you are facing mental stress. Practice relaxation and consult a psychiatrist if it continues.,mental_health,Psychiatry
326,I have stomach cramps,It seems like you may need rest and hydration. Please consult a doctor if it persists.,symptom_check,Orthopedics
327,My child has loose motion,Please monitor your child's symptoms carefully and consult a pediatrician if needed.,child_care,Pediatrics
328,My head hurts often,It seems like you may need rest and hydration. Please consult a doctor if it persists.,symptom_check,ENT
329,My baby is not eating food,Please monitor your child's symptoms carefully and consult a pediatrician if needed.,child_care,Pediatrics
330,What is a healthy breakfast?,A balanced diet with proper nutrition is recommended. Consult a dietitian for a detailed plan.,diet_advice,Endocrinology
331,My eyes are red and itchy,It seems like you may need rest and hydration. Please consult a doctor if it persists.,symptom_check,ENT
332,What should I avoid for acidity?,A balanced diet with proper nutrition is recommended. Consult a dietitian for a detailed plan.,diet_advice,Endocrinology
333,What should I avoid for acidity?,A balanced diet with proper nutrition is recommended. Consult a dietitian for a detailed plan.,diet_advice,Endocrinology
334,Whom should I consult for breathing issues?,It is best to consult a specialist for this condition.,doctor_referral,Cardiology
335,I feel pain in my joints,It seems like you may need rest and hydration. Please consult a doctor if it persists.,symptom_check,General Medicine
336,I feel pain in my joints,It seems like you may need rest and hydration. Please consult a doctor if it persists.,symptom_check,General Medicine
337,My eyes are red and itchy,It seems like you may need rest and hydration. Please consult a doctor if it persists.,symptom_check,ENT
338,Who should I see for back pain?,It is best to consult a specialist for this condition.,doctor_referral,Cardiology
339,Which doctor for chest pain?,It is best to consult a specialist for this condition.,doctor_referral,Cardiology
340,What medicine helps in acidity?,"Please consult a physician before taking any medication. For mild symptoms, basic OTC medicines may help.",medicine_advice,General Medicine
341,My baby is not eating food,Please monitor your child's symptoms carefully and consult a pediatrician if needed.,child_care,Pediatrics
342,My head hurts often,It seems like you may need rest and hydration. Please consult a doctor if it persists.,symptom_check,ENT
343,What is a healthy breakfast?,A balanced diet with proper nutrition is recommended. Consult a dietitian for a detailed plan.,diet_advice,Endocrinology
344,I am worried all the time,It seems you are facing mental stress. Practice relaxation and consult a psychiatrist if it continues.,mental_health,Psychiatry
345,I have skin itching,It seems like you may need rest and hydration. Please consult a doctor if it persists.,symptom_check,ENT
346,What diet for high cholesterol?,A balanced diet with proper nutrition is recommended. Consult a dietitian for a detailed plan.,diet_advice,Endocrinology
347,How to boost immunity?,"Regular exercise, a healthy diet, and proper rest are recommended. Consult your doctor for guidance.",lifestyle_advice,Cardiology
348,I am sneezing continuously,It seems like you may need rest and hydration. Please consult a doctor if it persists.,symptom_check,General Medicine
349,My head hurts often,It seems like you may need rest and hydration. Please consult a doctor if it persists.,symptom_check,Dermatology
350,I have stomach cramps,It seems like you may need rest and hydration. Please consult a doctor if it persists.,symptom_check,ENT
351,I feel stressed and cannot sleep,It seems you are facing mental stress. Practice relaxation and consult a psychiatrist if it continues.,mental_health,Psychiatry
352,What to eat for good sleep?,A balanced diet with proper nutrition is recommended. Consult a dietitian for a detailed plan.,diet_advice,Endocrinology
353,What fruits are good for the heart?,A balanced diet with proper nutrition is recommended. Consult a dietitian for a detailed plan.,diet_advice,Endocrinology
354,I feel weak and tired,It seems like you may need rest and hydration. Please consult a doctor if it persists.,symptom_check,General Medicine
355,Which medicine for headache?,"Please consult a physician before taking any medication. For mild symptoms, basic OTC medicines may help.",medicine_advice,General Medicine
356,How to control high blood pressure?,"Regular exercise, a healthy diet, and proper rest are recommended. Consult your doctor for guidance.",lifestyle_advice,Cardiology
357,Who should I see for back pain?,It is best to consult a specialist for this condition.,doctor_referral,Cardiology
358,I feel weak and tired,It seems like you may need rest and hydration. Please consult a doctor if it persists.,symptom_check,General Medicine
359,I feel weak and tired,It seems like you may need rest and hydration. Please consult a doctor if it persists.,symptom_check,Dermatology
360,My eyes are red and itchy,It seems like you may need rest and hydration. Please consult a doctor if it persists.,symptom_check,General Medicine
361,I am sneezing continuously,It seems like you may need rest and hydration. Please consult a doctor if it persists.,symptom_check,Dermatology
362,Who treats thyroid issues?,It is best to consult a specialist for this condition.,doctor_referral,Cardiology
363,My head hurts often,It seems like you may need rest and hydration. Please consult a doctor if it persists.,symptom_check,Dermatology
364,My head hurts often,It seems like you may need rest and hydration. Please consult a doctor if it persists.,symptom_check,ENT
365,How to maintain healthy weight?,"Regular exercise, a healthy diet, and proper rest are recommended. Consult your doctor for guidance.",lifestyle_advice,Cardiology
366,Who treats thyroid issues?,It is best to consult a specialist for this condition.,doctor_referral,Cardiology
367,My child has rashes,Please monitor your child's symptoms carefully and consult a pediatrician if needed.,child_care,Pediatrics
368,Is aspirin good for chest pain?,"Please consult a physician before taking any medication. For mild symptoms, basic OTC medicines may help.",medicine_advice,General Medicine
369,What fruits are good for the heart?,A balanced diet with proper nutrition is recommended. Consult a dietitian for a detailed plan.,diet_advice,Endocrinology
370,How to improve digestion?,"Regular exercise, a healthy diet, and proper rest are recommended. Consult your doctor for guidance.",lifestyle_advice,Cardiology
371,Which doctor for skin problems?,It is best to consult a specialist for this condition.,doctor_referral,Cardiology
372,Who treats thyroid issues?,It is best to consult a specialist for this condition.,doctor_referral,Cardiology
373,I feel pain in my joints,It seems like you may need rest and hydration. Please consult a doctor if it persists.,symptom_check,ENT
374,My head hurts often,It seems like you may need rest and hydration. Please consult a doctor if it persists.,symptom_check,Dermatology
375,I feel dizzy sometimes,It seems like you may need rest and hydration. Please consult a doctor if it persists.,symptom_check,ENT
376,Should I use ointment for rashes?,"Please consult a physician before taking any medication. For mild symptoms, basic OTC medicines may help.",medicine_advice,General Medicine
377,I feel lonely,It seems you are facing mental stress. Practice relaxation and consult a psychiatrist if it continues.,mental_health,Psychiatry
378,I feel lonely,It seems you are facing mental stress. Practice relaxation and consult a psychiatrist if it continues.,mental_health,Psychiatry
379,How to control high blood pressure?,"Regular exercise, a healthy diet, and proper rest are recommended. Consult your doctor for guidance.",lifestyle_advice,Cardiology
380,What to eat for good sleep?,A balanced diet with proper nutrition is recommended. Consult a dietitian for a detailed plan.,diet_advice,Endocrinology
381,My child has loose motion,Please monitor your child's symptoms carefully and consult a pediatrician if needed.,child_care,Pediatrics
382,What foods help in weight loss?,A balanced diet with proper nutrition is recommended. Consult a dietitian for a detailed plan.,diet_advice,Endocrinology
383,I feel dizzy sometimes,It seems like you may need rest and hydration. Please consult a doctor if it persists.,symptom_check,Dermatology
384,What fruits are good for the heart?,A balanced diet with proper nutrition is recommended. Consult a dietitian for a detailed plan.,diet_advice,Endocrinology
385,I feel stressed and cannot sleep,It seems you are facing mental stress. Practice relaxation and consult a psychiatrist if it continues.,mental_health,Psychiatry
386,I feel depressed,It seems you are facing mental stress. Practice relaxation and consult a psychiatrist if it continues.,mental_health,Psychiatry
387,My child has stomach pain,Please monitor your child's symptoms carefully and consult a pediatrician if needed.,child_care,Pediatrics
388,Who treats thyroid issues?,It is best to consult a specialist for this condition.,doctor_referral,Cardiology
389,Should I use ointment for rashes?,"Please consult a physician before taking any medication. For mild symptoms, basic OTC medicines may help.",medicine_advice,General Medicine
390,Should I take multivitamins daily?,"Please consult a physician before taking any medication. For mild symptoms, basic OTC medicines may help.",medicine_advice,General Medicine
391,My baby has a fever,Please monitor your child's symptoms carefully and consult a pediatrician if needed.,child_care,Pediatrics
392,I feel pain in my joints,It seems like you may need rest and hydration. Please consult a doctor if it persists.,symptom_check,General Medicine
393,Can I take paracetamol for fever?,"Please consult a physician before taking any medication. For mild symptoms, basic OTC medicines may help.",medicine_advice,General Medicine
394,What should I eat for strong bones?,A balanced diet with proper nutrition is recommended. Consult a dietitian for a detailed plan.,diet_advice,Endocrinology
395,I am sneezing continuously,It seems like you may need rest and hydration. Please consult a doctor if it persists.,symptom_check,ENT
396,My baby has a fever,Please monitor your child's symptoms carefully and consult a pediatrician if needed.,child_care,Pediatrics
397,My child has rashes,Please monitor your child's symptoms carefully and consult a pediatrician if needed.,child_care,Pediatrics
398,How to improve sleep quality?,"Regular exercise, a healthy diet, and proper rest are recommended. Consult your doctor for guidance.",lifestyle_advice,Cardiology
399,I am sneezing continuously,It seems like you may need rest and hydration. Please consult a doctor if it persists.,symptom_check,Dermatology
400,I feel stressed and cannot sleep,It seems you are facing mental stress. Practice relaxation and consult a psychiatrist if it continues.,mental_health,Psychiatry
401,I feel dizzy sometimes,It seems like you may need rest and hydration. Please consult a doctor if it persists.,symptom_check,Orthopedics
402,What to eat for high blood pressure?,A balanced diet with proper nutrition is recommended. Consult a dietitian for a detailed plan.,diet_advice,Endocrinology
403,How to improve digestion?,"Regular exercise, a healthy diet, and proper rest are recommended. Consult your doctor for guidance.",lifestyle_advice,Cardiology
404,I have skin itching,It seems like you may need rest and hydration. Please consult a doctor if it persists.,symptom_check,Orthopedics
405,I am anxious most of the time,It seems you are facing mental stress. Practice relaxation and consult a psychiatrist if it continues.,mental_health,Psychiatry
406,What diet helps in immunity?,A balanced diet with proper nutrition is recommended. Consult a dietitian for a detailed plan.,diet_advice,Endocrinology
407,My head hurts often,It seems like you may need rest and hydration. Please consult a doctor if it persists.,symptom_check,General Medicine
408,I feel weak and tired,It seems like you may need rest and hydration. Please consult a doctor if it persists.,symptom_check,General Medicine
409,I cannot focus on studies,It seems you are facing mental stress. Practice relaxation and consult a psychiatrist if it continues.,mental_health,Psychiatry
410,How to improve sleep quality?,"Regular exercise, a healthy diet, and proper rest are recommended. Consult your doctor for guidance.",lifestyle_advice,Cardiology
411,My child has loose motion,Please monitor your child's symptoms carefully and consult a pediatrician if needed.,child_care,Pediatrics
412,Whom should I consult for breathing issues?,It is best to consult a specialist for this condition.,doctor_referral,Cardiology
413,I cannot focus on studies,It seems you are facing mental stress. Practice relaxation and consult a psychiatrist if it continues.,mental_health,Psychiatry
414,I feel pain in my joints,It seems like you may need rest and hydration. Please consult a doctor if it persists.,symptom_check,Dermatology
415,I feel dizzy sometimes,It seems like you may need rest and hydration. Please consult a doctor if it persists.,symptom_check,ENT
416,My eyes are red and itchy,It seems like you may need rest and hydration. Please consult a doctor if it persists.,symptom_check,Orthopedics
417,I feel dizzy sometimes,It seems like you may need rest and hydration. Please consult a doctor if it persists.,symptom_check,Orthopedics
418,I have a fever and chills,It seems like you may need rest and hydration. Please consult a doctor if it persists.,symptom_check,General Medicine
419,Which doctor for chest pain?,It is best to consult a specialist for this condition.,doctor_referral,Cardiology
420,What foods help in weight loss?,A balanced diet with proper nutrition is recommended. Consult a dietitian for a detailed plan.,diet_advice,Endocrinology
421,Which doctor for chest pain?,It is best to consult a specialist for this condition.,doctor_referral,Cardiology
422,Which doctor for irregular heartbeat?,It is best to consult a specialist for this condition.,doctor_referral,Cardiology
423,Who treats thyroid issues?,It is best to consult a specialist for this condition.,doctor_referral,Cardiology
424,My eyes are red and itchy,It seems like you may need rest and hydration. Please consult a doctor if it persists.,symptom_check,Orthopedics
425,Which doctor for frequent headaches?,It is best to consult a specialist for this condition.,doctor_referral,Cardiology
426,I feel pain in my joints,It seems like you may need rest and hydration. Please consult a doctor if it persists.,symptom_check,Dermatology
427,My head hurts often,It seems like you may need rest and hydration. Please consult a doctor if it persists.,symptom_check,General Medicine
428,Which doctor for skin problems?,It is best to consult a specialist for this condition.,doctor_referral,Cardiology
429,I have a fever and chills,It seems like you may need rest and hydration. Please consult a doctor if it persists.,symptom_check,General Medicine
430,My child has stomach pain,Please monitor your child's symptoms carefully and consult a pediatrician if needed.,child_care,Pediatrics
431,My child has loose motion,Please monitor your child's symptoms carefully and consult a pediatrician if needed.,child_care,Pediatrics
432,I have stomach cramps,It seems like you may need rest and hydration. Please consult a doctor if it persists.,symptom_check,ENT
433,I have a fever and chills,It seems like you may need rest and hydration. Please consult a doctor if it persists.,symptom_check,Orthopedics
434,Is ibuprofen safe for stomach pain?,"Please consult a physician before taking any medication. For mild symptoms, basic OTC medicines may help.",medicine_advice,General Medicine
435,I feel pain in my joints,It seems like you may need rest and hydration. Please consult a doctor if it persists.,symptom_check,General Medicine
436,I feel depressed,It seems you are facing mental stress. Practice relaxation and consult a psychiatrist if it continues.,mental_health,Psychiatry
437,I am having panic attacks,It seems you are facing mental stress. Practice relaxation and consult a psychiatrist if it continues.,mental_health,Psychiatry
438,I cannot focus on studies,It seems you are facing mental stress. Practice relaxation and consult a psychiatrist if it continues.,mental_health,Psychiatry
439,What drops to use for red eyes?,"Please consult a physician before taking any medication. For mild symptoms, basic OTC medicines may help.",medicine_advice,General Medicine
440,I have stomach cramps,It seems like you may need rest and hydration. Please consult a doctor if it persists.,symptom_check,General Medicine
441,My baby has a fever,Please monitor your child's symptoms carefully and consult a pediatrician if needed.,child_care,Pediatrics
442,What should I avoid for acidity?,A balanced diet with proper nutrition is recommended. Consult a dietitian for a detailed plan.,diet_advice,Endocrinology
443,Should I take multivitamins daily?,"Please consult a physician before taking any medication. For mild symptoms, basic OTC medicines may help.",medicine_advice,General Medicine
444,My throat feels sore,It seems like you may need rest and hydration. Please consult a doctor if it persists.,symptom_check,Dermatology
445,What to eat for good sleep?,A balanced diet with proper nutrition is recommended. Consult a dietitian for a detailed plan.,diet_advice,Endocrinology
446,Who treats thyroid issues?,It is best to consult a specialist for this condition.,doctor_referral,Cardiology
447,My head hurts often,It seems like you may need rest and hydration. Please consult a doctor if it persists.,symptom_check,ENT
448,My child has loose motion,Please monitor your child's symptoms carefully and consult a pediatrician if needed.,child_care,Pediatrics
449,I feel dizzy sometimes,It seems like you may need rest and hydration. Please consult a doctor if it persists.,symptom_check,General Medicine
450,Is aspirin good for chest pain?,"Please consult a physician before taking any medication. For mild symptoms, basic OTC medicines may help.",medicine_advice,General Medicine
451,I feel weak and tired,It seems like you may need rest and hydration. Please consult a doctor if it persists.,symptom_check,ENT
452,What diet helps in immunity?,A balanced diet with proper nutrition is recommended. Consult a dietitian for a detailed plan.,diet_advice,Endocrinology
453,What to eat for high blood pressure?,A balanced diet with proper nutrition is recommended. Consult a dietitian for a detailed plan.,diet_advice,Endocrinology
454,Should I use ointment for rashes?,"Please consult a physician before taking any medication. For mild symptoms, basic OTC medicines may help.",medicine_advice,General Medicine
455,I am sneezing continuously,It seems like you may need rest and hydration. Please consult a doctor if it persists.,symptom_check,General Medicine
456,My baby is crying continuously,Please monitor your child's symptoms carefully and consult a pediatrician if needed.,child_care,Pediatrics
457,My child has loose motion,Please monitor your child's symptoms carefully and consult a pediatrician if needed.,child_care,Pediatrics
458,I feel pain in my joints,It seems like you may need rest and hydration. Please consult a doctor if it persists.,symptom_check,General Medicine
459,How to prevent heart disease?,"Regular exercise, a healthy diet, and proper rest are recommended. Consult your doctor for guidance.",lifestyle_advice,Cardiology
460,What to eat for good sleep?,A balanced diet with proper nutrition is recommended. Consult a dietitian for a detailed plan.,diet_advice,Endocrinology
461,My head hurts often,It seems like you may need rest and hydration. Please consult a doctor if it persists.,symptom_check,Orthopedics
462,How to control high blood pressure?,"Regular exercise, a healthy diet, and proper rest are recommended. Consult your doctor for guidance.",lifestyle_advice,Cardiology
463,Who should I see for back pain?,It is best to consult a specialist for this condition.,doctor_referral,Cardiology
464,I feel mentally exhausted,It seems you are facing mental stress. Practice relaxation and consult a psychiatrist if it continues.,mental_health,Psychiatry
465,What diet for high cholesterol?,A balanced diet with proper nutrition is recommended. Consult a dietitian for a detailed plan.,diet_advice,Endocrinology
466,Should I take multivitamins daily?,"Please consult a physician before taking any medication. For mild symptoms, basic OTC medicines may help.",medicine_advice,General Medicine
467,My baby is crying continuously,Please monitor your child's symptoms carefully and consult a pediatrician if needed.,child_care,Pediatrics
468,I feel weak and tired,It seems like you may need rest and hydration. Please consult a doctor if it persists.,symptom_check,General Medicine
469,Who treats thyroid issues?,It is best to consult a specialist for this condition.,doctor_referral,Cardiology
470,My child feels weak,Please monitor your child's symptoms carefully and consult a pediatrician if needed.,child_care,Pediatrics
471,What diet for high cholesterol?,A balanced diet with proper nutrition is recommended. Consult a dietitian for a detailed plan.,diet_advice,Endocrinology
472,My child feels weak,Please monitor your child's symptoms carefully and consult a pediatrician if needed.,child_care,Pediatrics
473,I am having panic attacks,It seems you are facing mental stress. Practice relaxation and consult a psychiatrist if it continues.,mental_health,Psychiatry
474,How to stay fit after 40?,"Regular exercise, a healthy diet, and proper rest are recommended. Consult your doctor for guidance.",lifestyle_advice,Cardiology
475,I have skin itching,It seems like you may need rest and hydration. Please consult a doctor if it persists.,symptom_check,ENT
476,I feel weak and tired,It seems like you may need rest and hydration. Please consult a doctor if it persists.,symptom_check,Orthopedics
477,I feel pain in my joints,It seems like you may need rest and hydration. Please consult a doctor if it persists.,symptom_check,Dermatology
478,Which syrup is good for cough?,"Please consult a physician before taking any medication. For mild symptoms, basic OTC medicines may help.",medicine_advice,General Medicine
479,Who treats thyroid issues?,It is best to consult a specialist for this condition.,doctor_referral,Cardiology
480,Which syrup is good for cough?,"Please consult a physician before taking any medication. For mild symptoms, basic OTC medicines may help.",medicine_advice,General Medicine
481,Who treats allergies?,It is best to consult a specialist for this condition.,doctor_referral,Cardiology
482,I feel dizzy sometimes,It seems like you may need rest and hydration. Please consult a doctor if it persists.,symptom_check,ENT
483,I feel pain in my joints,It seems like you may need rest and hydration. Please consult a doctor if it persists.,symptom_check,Dermatology
484,My throat feels sore,It seems like you may need rest and hydration. Please consult a doctor if it persists.,symptom_check,ENT
485,I feel dizzy sometimes,It seems like you may need rest and hydration. Please consult a doctor if it persists.,symptom_check,Orthopedics
486,I feel dizzy sometimes,It seems like you may need rest and hydration. Please consult a doctor if it persists.,symptom_check,General Medicine
487,My baby has a fever,Please monitor your child's symptoms carefully and consult a pediatrician if needed.,child_care,Pediatrics
488,Who treats allergies?,It is best to consult a specialist for this condition.,doctor_referral,Cardiology
489,How to prevent heart disease?,"Regular exercise, a healthy diet, and proper rest are recommended. Consult your doctor for guidance.",lifestyle_advice,Cardiology
490,Which doctor for chest pain?,It is best to consult a specialist for this condition.,doctor_referral,Cardiology
491,I have a fever and chills,It seems like you may need rest and hydration. Please consult a doctor if it persists.,symptom_check,Orthopedics
492,My throat feels sore,It seems like you may need rest and hydration. Please consult a doctor if it persists.,symptom_check,General Medicine
493,My head hurts often,It seems like you may need rest and hydration. Please consult a doctor if it persists.,symptom_check,Dermatology
494,My kid has ear pain,Please monitor your child's symptoms carefully and consult a pediatrician if needed.,child_care,Pediatrics
495,Who should I see for back pain?,It is best to consult a specialist for this condition.,doctor_referral,Cardiology
496,I am sneezing continuously,It seems like you may need rest and hydration. Please consult a doctor if it persists.,symptom_check,Orthopedics
497,I am anxious most of the time,It seems you are facing mental stress. Practice relaxation and consult a psychiatrist if it continues.,mental_health,Psychiatry
498,I feel pain in my joints,It seems like you may need rest and hydration. Please consult a doctor if it persists.,symptom_check,Orthopedics
499,My child feels weak,Please monitor your child's symptoms carefully and consult a pediatrician if needed.,child_care,Pediatrics
500,I have skin itching,It seems like you may need rest and hydration. Please consult a doctor if it persists.,symptom_check,Orthopedics
501,मुझे बुखार है और बदन दर्द हो रहा है,It seems like you may need rest and hydration. Please consult a doctor if it persists.,symptom_check,Dermatology
502,मेरे बच्चे को खांसी है,It seems like you may need rest and hydration. Please consult a doctor if it persists.,symptom_check,Dermatology
503,मुझे सिरदर्द की दवा चाहिए,It seems like you may need rest and hydration. Please consult a doctor if it persists.,symptom_check,Dermatology
504,मुझे नींद नहीं आ रही है,It seems like you may need rest and hydration. Please consult a doctor if it persists.,symptom_check,Dermatology
505,उच्च रक्तचाप कैसे नियंत्रित करें?,It seems like you may need rest and hydration. Please consult a doctor if it persists.,symptom_check,Dermatology
506,எனக்கு காய்ச்சல் மற்றும் உடல் வலி உள்ளது,Please monitor your child's symptoms carefully and consult a pediatrician if needed.,child_care,Pediatrics
507,என் குழந்தைக்கு வயிற்று வலி,Please monitor your child's symptoms carefully and consult a pediatrician if needed.,child_care,Pediatrics
508,எனக்கு தலைவலி உள்ளது,Please monitor your child's symptoms carefully and consult a pediatrician if needed.,child_care,Pediatrics
509,நான் எப்போதும் கவலையுடன் இருக்கிறேன்,Please monitor your child's symptoms carefully and consult a pediatrician if needed.,child_care,Pediatrics
510,இரத்த அழுத்தத்தை கட்டுப்படுத்துவது எப்படி?,Please monitor your child's symptoms carefully and consult a pediatrician if needed.,child_care,Pediatrics
511,لدي حمى وألم في جسدي,"Please consult a physician before taking any medication. For mild symptoms, basic OTC medicines may help.",medicine_advice,General Medicine
512,طفلي يعاني من آلام في المعدة,"Please consult a physician before taking any medication. For mild symptoms, basic OTC medicines may help.",medicine_advice,General Medicine
